Referência,Quartos,Banheiros,Suítes,Vagas de Garagem,Bairro,Área Total,Valor Venda
128738-4,4,2,1,4,Oficinas,241,890000
96940-4,3,3,1,2,Oficinas,241,890000
110772-4,3,4,1,2,Oficinas,300,890000
148928-4,3,2,1,3,Centro,120,890000
103126-4,5,4,1,2,Jardim Carvalho,408,870000
145767-4,4,3,0,1,Estrela,437,870000
147162-4,4,3,2,2,Estrela,333,870000
146260-4,3,3,1,1,Estrela,435,870000
128022-4,5,5,2,2,Jardim Carvalho,297,870000
146063-4,3,2,0,3,Centro,384,870000
148332-4,5,2,0,2,Nova Rússia,300,860000
129864-4,4,4,3,5,Jardim Carvalho,313,850000
127501-4,5,4,1,2,Estrela,350,850000
99032-4,3,1,1,3,Orfãs,235,850000
76510-4,3,3,0,3,Estrela,271,850000
20936-4,4,1,3,2,Jardim Carvalho,756,850000
99218-4,3,2,0,3,Centro,240,850000
20951-4,4,2,2,4,Orfãs,720,850000
95391-4,3,3,1,2,Jardim Carvalho,220,850000
147300-4,5,5,1,3,Oficinas,532,850000
81210-4,5,4,2,4,Ronda,341,850000
131496-4,3,3,1,2,Estrela,333,850000
128583-4,3,3,1,2,Estrela,445,850000
111764-4,3,4,1,4,Estrela,333,850000
132204-4,3,2,1,4,Neves,213,850000
131958-4,2,1,0,3,Centro,140,850000
96091-4,3,1,1,3,Centro,250,850000
103114-4,3,3,1,3,Uvaranas,276,850000
154524-4,3,1,1,6,Oficinas,290,850000
103118-4,3,3,1,2,Estrela,445,850000
96138-4,5,1,1,3,Estrela,362,850000
126912-4,3,3,1,3,Orfãs,193,850000
103429-4,5,5,1,2,Oficinas,346,850000
128736-4,3,2,1,3,Uvaranas,173,850000
144900-4,3,2,0,2,Uvaranas,173,850000
146232-4,3,2,1,3,Centro,250,850000
96517-4,4,1,1,2,Ronda,347,850000
104081-4,3,3,1,2,Boa Vista,325,850000
143340-4,3,2,0,3,Centro,384,850000
128863-4,3,2,1,2,Estrela,333,850000
110769-4,4,4,1,4,Centro,364,850000
106472-4,3,3,1,2,Uvaranas,173,850000
144048-4,3,1,0,3,Centro,389,850000
131165-4,3,1,0,2,Jardim Carvalho,200,850000
107012-4,3,2,1,2,Uvaranas,240,850000
129915-4,4,6,4,2,Jardim Carvalho,350,848000
144026-4,4,2,4,2,Jardim Carvalho,350,848000
102683-4,3,3,2,2,Chapada,212,840000
110315-4,3,2,0,2,Uvaranas,173,840000
132396-4,3,1,1,2,Jardim Carvalho,230,840000
131502-4,3,3,1,2,Jardim Carvalho,226,840000
146951-4,3,1,0,2,Boa Vista,160,840000
132550-4,3,3,1,2,Jardim Carvalho,226,840000
131195-4,3,2,1,2,Jardim Carvalho,241,840000
126584-4,3,3,1,2,Jardim Carvalho,226,840000
94391-4,5,4,2,3,Jardim Carvalho,495,830000
95399-4,4,2,1,3,Centro,384,827000
129396-4,6,4,2,5,Neves,255,820000
155018-4,4,3,2,3,Uvaranas,227,800000
128347-4,3,2,1,2,Colônia Dona Luiza,2250,800000
150824-4,4,3,0,4,Uvaranas,200,800000
147266-4,4,2,0,2,Uvaranas,200,800000
150478-4,3,2,0,3,Centro,250,800000
150626-4,3,3,0,2,Centro,190,800000
22812-4,4,1,2,2,Oficinas,382,800000
23268-4,5,3,1,4,Estrela,363,800000
143715-4,3,3,1,2,Uvaranas,173,800000
128655-4,4,5,3,4,Jardim Carvalho,241,800000
134393-4,5,6,4,6,Boa Vista,219,800000
131540-4,4,4,2,3,Jardim Carvalho,630,800000
125415-4,4,1,1,2,Jardim Carvalho,240,800000
144672-4,3,3,3,3,Orfãs,215,800000
128712-4,3,2,1,2,Uvaranas,173,800000
85782-4,3,2,1,3,Orfãs,462,800000
119279-4,3,2,0,2,Oficinas,320,800000
145757-4,3,3,1,2,Estrela,240,800000
119327-4,3,2,0,2,Neves,230,800000
110631-4,3,2,0,2,Oficinas,241,800000
118657-4,4,3,1,3,Oficinas,320,800000
147421-4,4,5,3,2,Boa Vista,317,800000
101814-4,4,2,1,2,Nova Rússia,297,800000
118512-4,5,5,2,2,Centro,250,800000
92358-4,4,3,1,2,Orfãs,462,800000
127426-4,3,2,1,2,Oficinas,2193,800000
151681-4,4,3,2,2,Uvaranas,250,800000
127543-4,2,1,1,5,Uvaranas,100,790000
132868-4,3,3,1,2,Jardim Carvalho,165,790000
154368-4,3,2,1,2,Orfãs,180,790000
134336-4,3,1,0,2,Neves,187,790000
151157-4,4,2,1,7,Nova Rússia,220,790000
134386-4,4,1,0,2,Nova Rússia,660,790000
145766-4,3,4,1,2,Nova Rússia,600,790000
101035-4,4,3,1,3,Uvaranas,300,790000
134224-4,3,1,1,2,Neves,300,790000
146029-4,3,2,1,2,Neves,187,790000
106970-4,4,4,1,2,Estrela,240,790000
132093-4,3,2,0,2,Nova Rússia,237,790000
148200-4,4,1,1,3,Uvaranas,173,780000
151119-4,4,3,1,3,Jardim Carvalho,240,780000
65283-4,4,3,1,4,Estrela,640,780000
125792-4,3,3,1,4,Uvaranas,173,780000
154148-4,5,5,1,2,Uvaranas,173,780000
147317-4,5,1,0,3,Centro,260,780000
143043-4,3,3,1,2,Uvaranas,210,780000
154656-4,3,4,1,4,Uvaranas,472,780000
142642-4,3,1,1,2,Uvaranas,164,780000
107552-4,3,1,1,2,Uvaranas,173,780000
145782-4,4,2,1,3,Orfãs,400,780000
107835-4,2,3,1,5,Uvaranas,170,780000
142670-4,4,3,1,3,Uvaranas,247,780000
153994-4,3,4,1,2,Orfãs,324,760000
126910-4,3,2,0,2,Uvaranas,126,750000
131900-4,3,3,2,2,Jardim Carvalho,232,750000
145015-4,3,1,1,2,Uvaranas,169,750000
86639-4,3,3,1,2,Jardim Carvalho,190,750000
134109-4,4,4,1,1,Uvaranas,210,750000
131509-4,3,3,1,2,Oficinas,330,750000
111517-4,3,3,1,2,Estrela,552,750000
129947-4,3,3,0,4,Jardim Carvalho,272,750000
149045-4,3,2,0,2,Oficinas,350,750000
32025-4,3,2,0,2,Nova Rússia,237,750000
150538-4,3,3,1,4,Uvaranas,165,750000
119246-4,3,2,0,2,Uvaranas,180,750000
50511-4,3,1,2,2,Contorno / Sta. Paula,131,750000
148085-4,3,3,1,4,Jardim Carvalho,495,750000
143060-4,3,3,1,1,Nova Rússia,230,750000
148090-4,4,4,1,2,Uvaranas,306,750000
151258-4,4,3,1,3,Orfãs,214,750000
142762-4,3,3,1,1,Centro,170,750000
128851-4,3,3,0,3,Estrela,333,750000
132517-4,2,1,2,1,Jardim Carvalho,495,750000
148735-4,3,3,0,2,Estrela,333,750000
132526-4,3,2,2,2,Jardim Carvalho,232,750000
91305-4,3,3,1,2,Estrela,220,750000
147453-4,3,1,0,2,Oficinas,130,750000
92024-4,4,3,1,2,Boa Vista,371,750000
130355-4,4,2,1,3,Orfãs,300,750000
144756-4,4,4,1,4,Boa Vista,293,750000
107975-4,3,2,1,2,Boa Vista,240,740000
145424-4,3,4,0,2,Uvaranas,173,740000
128554-4,3,2,1,1,Centro,384,740000
151333-4,3,3,1,4,Uvaranas,173,740000
125524-4,4,3,1,2,Uvaranas,490,735000
149040-4,4,1,1,3,Jardim Carvalho,260,730000
130246-4,3,2,1,2,Estrela,333,730000
151300-4,4,2,1,2,Jardim Carvalho,241,730000
127737-4,3,4,3,3,Jardim Carvalho,241,720000
148476-4,3,3,1,2,Oficinas,241,720000
117899-4,3,3,1,2,Estrela,290,720000
143570-4,3,2,0,2,Jardim Carvalho,156,720000
143571-4,3,2,3,2,Jardim Carvalho,156,720000
143384-4,3,3,1,2,Jardim Carvalho,156,720000
130975-4,3,2,0,2,Estrela,237,719000
154240-4,3,2,1,2,Estrela,237,719000
154916-4,3,1,0,3,Centro,250,710000
130127-4,3,1,1,2,Uvaranas,200,700000
143402-4,3,5,1,1,Centro,188,700000
102691-4,4,3,1,3,Jardim Carvalho,588,700000
147720-4,3,3,0,3,Orfãs,591,700000
147756-4,3,5,1,4,Nova Rússia,318,700000
77434-4,3,4,3,2,Estrela,333,700000
131239-4,4,3,1,2,Uvaranas,228,700000
79195-4,5,6,3,4,Jardim Carvalho,260,700000
132650-4,3,4,1,3,Uvaranas,352,700000
128546-4,6,4,2,2,Centro,384,700000
129459-4,3,2,0,2,Jardim Carvalho,241,700000
143467-4,3,5,1,1,Centro,188,700000
131504-4,4,3,1,4,Jardim Carvalho,438,700000
128613-4,3,2,0,2,Nova Rússia,518,700000
129715-4,4,3,1,2,Jardim Carvalho,188,700000
49072-4,4,5,1,4,Centro,318,700000
126502-4,4,5,3,2,Jardim Carvalho,188,700000
146468-4,3,2,0,2,Jardim Carvalho,241,700000
67461-4,3,3,1,2,Nova Rússia,220,700000
144502-4,3,2,0,2,Orfãs,450,700000
154038-4,3,1,2,3,Estrela,333,700000
154054-4,3,2,1,3,Jardim Carvalho,241,700000
128940-4,3,2,1,2,Nova Rússia,237,700000
131651-4,4,3,1,2,Estrela,220,700000
145432-4,3,3,1,3,Jardim Carvalho,115,450000
106385-4,3,2,1,2,Nova Rússia,118,420000
120008-4,3,3,1,2,Boa Vista,130,350000
119871-4,2,1,1,1,Jardim Carvalho,109,340000
84747-4,3,3,1,2,Uvaranas,92,290000
143612-4,3,2,1,2,Uvaranas,90,270000
118837-4,3,2,0,3,Centro,100,229000
132253-4,3,2,0,2,Uvaranas,173,160000
126667-4,3,4,1,2,Jardim Carvalho,400,1740000
126630-4,3,4,3,2,Uvaranas,173,850000
150566-4,3,3,1,2,Orfãs,212,800000
147876-4,3,3,1,2,Jardim Carvalho,356,750000
146941-4,3,3,1,2,Estrela,170,695000
146341-4,3,3,1,2,Jardim Carvalho,150,690000
132874-4,3,4,3,2,Uvaranas,300,690000
146834-4,3,3,1,4,Jardim Carvalho,150,690000
146377-4,3,2,1,2,Jardim Carvalho,241,690000
142590-4,3,1,0,2,Uvaranas,170,690000
146053-4,3,3,1,2,Jardim Carvalho,241,690000
147250-4,3,4,1,4,Uvaranas,173,680000
131463-4,3,2,0,2,Uvaranas,150,680000
18600-4,3,3,1,2,Neves,150,680000
111785-4,3,5,2,2,Estrela,180,680000
93080-4,3,2,1,2,Oficinas,153,680000
147215-4,3,3,2,2,Nova Rússia,308,680000
105075-4,3,3,1,2,Oficinas,360,670000
146100-4,3,4,1,4,Olarias,260,650000
126898-4,4,1,1,4,Oficinas,241,650000
150503-4,3,2,0,3,Centro,391,650000
127907-4,4,2,1,1,Orfãs,145,650000
148519-4,3,4,2,2,Orfãs,324,650000
145986-4,3,4,1,4,Jardim Carvalho,298,650000
111601-4,3,2,1,3,Oficinas,224,650000
150938-4,3,4,1,2,Oficinas,241,650000
103960-4,3,4,3,2,Jardim Carvalho,220,640000
150840-4,3,3,1,2,Cará-cará,163,635000
143197-4,3,4,1,3,Jardim Carvalho,186,630000
150546-4,4,4,1,2,Jardim Carvalho,170,630000
134475-4,4,2,1,2,Jardim Carvalho,175,630000
150486-4,4,1,0,2,Boa Vista,250,625000
147858-4,3,2,1,2,Cará-cará,177,620000
148521-4,4,2,1,4,Nova Rússia,237,620000
150721-4,3,2,1,2,Cará-cará,121,620000
143560-4,3,3,1,2,Centro,180,620000
146977-4,3,3,1,2,Cará-cará,200,620000
151176-4,3,4,1,3,Jardim Carvalho,175,610000
150474-4,3,2,0,2,Nova Rússia,294,600000
133640-4,3,3,1,2,Jardim Carvalho,170,600000
148589-4,3,2,0,2,Colônia Dona Luiza,243,600000
150839-4,3,3,1,2,Cará-cará,153,600000
131562-4,3,2,1,2,Orfãs,324,600000
94509-4,3,2,0,2,Jardim Carvalho,241,600000
130868-4,4,3,1,3,Jardim Carvalho,280,600000
142737-4,4,1,0,2,Boa Vista,145,600000
130103-4,3,2,1,2,Jardim Carvalho,159,600000
110788-4,3,1,1,4,Estrela,350,600000
147226-4,3,1,0,2,Jardim Carvalho,187,600000
118759-4,3,2,0,2,Chapada,280,600000
131899-4,3,2,1,2,Cará-cará,150,599000
131811-4,3,1,1,2,Cará-cará,145,595000
101297-4,4,3,1,2,Uvaranas,200,590000
145609-4,3,2,1,4,Centro,190,590000
132508-4,3,1,1,2,Jardim Carvalho,300,585000
126894-4,3,1,1,2,Uvaranas,235,580000
132967-4,3,2,1,3,Jardim Carvalho,175,580000
96405-4,3,1,1,2,Uvaranas,235,580000
111902-4,3,3,1,3,Oficinas,210,575000
131551-4,4,3,1,3,Oficinas,182,570000
144519-4,3,2,1,2,Oficinas,153,570000
146087-4,3,3,1,2,Oficinas,241,560000
21790-4,3,2,1,2,Oficinas,200,560000
148394-4,3,2,1,2,Cará-cará,153,550000
118912-4,3,2,0,2,Olarias,376,550000
145246-4,3,1,0,2,Jardim Carvalho,166,550000
131561-4,3,2,1,2,Orfãs,162,550000
154683-4,3,3,1,2,Orfãs,324,550000
119824-4,3,1,1,3,Orfãs,162,550000
132527-4,3,2,3,2,Oficinas,140,550000
144666-4,2,2,2,2,Jardim Carvalho,136,547000
144971-4,2,2,2,1,Jardim Carvalho,136,547000
118668-4,3,2,1,2,Uvaranas,490,540000
148514-4,3,3,1,2,Estrela,333,540000
143373-4,3,1,1,2,Orfãs,180,540000
151273-4,3,2,1,2,Uvaranas,183,535000
145806-4,3,3,1,2,Uvaranas,180,535000
148926-4,3,1,1,2,Uvaranas,180,535000
120105-4,4,2,0,1,Orfãs,324,530000
147498-4,3,3,1,2,Uvaranas,160,520000
21004-4,3,3,1,4,Cará-cará,595,520000
148828-4,3,3,0,2,Estrela,333,520000
111306-4,3,2,1,2,Neves,183,520000
147694-4,3,2,1,2,Cará-cará,121,520000
151104-4,3,2,1,3,Jardim Carvalho,220,515000
119293-4,3,1,0,2,Jardim Carvalho,216,510000
130600-4,3,3,1,4,Jardim Carvalho,220,510000
148513-4,3,1,1,5,Jardim Carvalho,241,510000
145170-4,3,3,1,2,Jardim Carvalho,462,510000
134499-4,3,4,1,5,Jardim Carvalho,241,510000
151120-4,3,3,1,2,Nova Rússia,160,500000
151073-4,3,2,1,4,Contorno / Sta. Paula,320,500000
119339-4,3,2,0,2,Uvaranas,155,500000
98169-4,3,3,1,3,Estrela,178,500000
98295-4,3,3,1,2,Estrela,111,500000
132444-4,3,3,1,3,Orfãs,226,500000
134150-4,3,3,1,2,Colônia Dona Luiza,180,500000
150377-4,3,2,1,2,Contorno / Sta. Paula,200,500000
104183-4,3,3,1,3,Nova Rússia,317,500000
132418-4,3,4,1,2,Orfãs,226,499900
147253-4,3,2,1,2,Jardim Carvalho,241,499000
146562-4,4,4,1,2,Jardim Carvalho,155,499000
101189-4,3,1,1,3,Estrela,155,499000
146004-4,4,2,1,2,Jardim Carvalho,155,499000
131566-4,3,3,1,2,Neves,155,495000
128491-4,3,1,1,2,Nova Rússia,137,490000
151072-4,4,2,1,2,Ronda,210,490000
104078-4,3,1,1,2,Olarias,161,490000
82326-4,3,2,1,2,Uvaranas,173,490000
119186-4,3,2,0,2,Uvaranas,238,480000
126875-4,3,2,1,1,Ronda,136,480000
25077-4,3,3,1,2,Uvaranas,160,480000
144324-4,3,1,1,2,Jardim Carvalho,118,480000
143852-4,2,1,0,2,Oficinas,122,480000
151124-4,3,3,1,2,Jardim Carvalho,150,470000
151122-4,3,3,1,3,Estrela,140,460000
143208-4,3,2,1,1,Nova Rússia,237,460000
143552-4,3,2,1,2,Cará-cará,200,460000
146266-4,3,2,1,2,Orfãs,324,460000
154702-4,3,2,1,1,Oficinas,115,460000
145588-4,3,1,0,2,Contorno / Sta. Paula,136,460000
146737-4,3,3,1,2,Oficinas,138,460000
111378-4,3,1,1,2,Nova Rússia,110,460000
147221-4,3,1,1,3,Orfãs,134,460000
32034-4,3,2,1,5,Orfãs,297,450000
134806-4,4,4,1,2,Uvaranas,150,450000
132847-4,3,2,1,2,Jardim Carvalho,165,450000
24056-4,3,3,1,1,Orfãs,324,450000
117830-4,3,2,0,3,Estrela,333,450000
148839-4,3,3,0,2,Orfãs,324,450000
146897-4,3,3,0,2,Jardim Carvalho,127,450000
151676-4,3,3,1,2,Nova Rússia,110,450000
150332-4,3,2,1,2,Oficinas,121,450000
147857-4,4,3,1,2,Estrela,172,450000
143094-4,3,3,1,2,Estrela,106,450000
143819-4,3,2,1,2,Nova Rússia,237,450000
150396-4,3,1,1,2,Neves,128,450000
86223-4,3,3,1,2,Uvaranas,170,450000
154969-4,3,3,1,1,Nova Rússia,100,445000
151151-4,3,3,1,2,Nova Rússia,118,440000
104368-4,3,1,1,3,Estrela,140,440000
148289-4,3,3,1,1,Uvaranas,220,440000
135386-4,3,1,1,2,Estrela,125,440000
129350-4,3,2,1,2,Estrela,160,440000
98589-4,3,1,1,2,Oficinas,138,440000
148614-4,3,2,0,3,Uvaranas,173,430000
129534-4,3,2,1,2,Jardim Carvalho,123,430000
142758-4,3,2,1,2,Jardim Carvalho,94,430000
154703-4,3,2,1,1,Oficinas,100,430000
131869-4,3,4,1,2,Jardim Carvalho,137,430000
134331-4,3,2,1,1,Cará-cará,121,429000
118811-4,3,2,0,2,Jardim Carvalho,137,425000
154343-4,3,3,1,3,Jardim Carvalho,241,425000
65199-4,3,3,1,3,Jardim Carvalho,140,425000
148792-4,3,2,0,2,Jardim Carvalho,241,425000
105526-4,3,1,1,2,Jardim Carvalho,136,425000
144731-4,2,1,0,2,Olarias,150,425000
118600-4,3,4,1,2,Jardim Carvalho,140,425000
142687-4,3,1,1,2,Jardim Carvalho,133,420000
128354-4,3,1,1,3,Estrela,136,420000
94395-4,3,3,1,2,Estrela,333,420000
27584-4,2,1,2,2,Estrela,333,420000
150683-4,3,1,0,3,Estrela,136,420000
148502-4,3,2,1,2,Estrela,333,420000
148508-4,3,2,1,2,Boa Vista,219,420000
142583-4,3,3,1,3,Estrela,160,420000
146938-4,3,2,1,1,Oficinas,241,420000
134505-4,3,1,0,3,Orfãs,142,420000
134332-4,3,2,1,1,Cará-cará,121,419000
154369-4,3,2,1,2,Nova Rússia,110,418000
118895-4,3,2,0,2,Neves,139,415000
154813-4,3,2,1,3,Ronda,120,415000
133436-4,3,3,1,1,Jardim Carvalho,210,415000
154660-4,3,3,1,2,Ronda,260,415000
142456-4,3,1,1,2,Jardim Carvalho,235,410000
118973-4,3,2,0,2,Ronda,144,410000
101076-4,3,3,1,2,Ronda,148,410000
143218-4,3,1,1,2,Oficinas,106,410000
143374-4,3,2,1,2,Oficinas,241,410000
104369-4,3,1,1,3,Estrela,140,404000
135383-4,3,1,1,2,Estrela,118,403000
135384-4,3,3,1,2,Estrela,118,403000
154937-4,3,1,0,2,Jardim Carvalho,106,402800
150429-4,3,1,1,1,Estrela,333,400000
20988-4,5,3,0,3,Uvaranas,462,400000
131558-4,3,3,1,2,Jardim Carvalho,241,400000
151152-4,3,3,1,2,Nova Rússia,118,400000
148584-4,3,3,1,4,Jardim Carvalho,241,400000
151170-4,3,3,1,3,Orfãs,93,400000
129674-4,3,3,1,2,Oficinas,114,400000
133641-4,3,3,1,2,Jardim Carvalho,241,400000
85765-4,3,2,1,2,Ronda,230,400000
135127-4,3,3,1,3,Orfãs,142,400000
129511-4,3,3,1,2,Oficinas,114,400000
134632-4,3,1,0,3,Orfãs,126,400000
131564-4,3,1,1,2,Oficinas,241,400000
151675-4,3,3,1,2,Nova Rússia,100,400000
148823-4,3,3,0,3,Estrela,333,400000
133456-4,3,1,0,2,Jardim Carvalho,137,400000
130027-4,2,1,0,2,Uvaranas,384,400000
96348-4,3,1,1,2,Ronda,128,400000
134306-4,3,3,1,1,Oficinas,241,400000
22487-4,3,2,0,2,Jardim Carvalho,620,400000
154710-4,3,3,0,2,Oficinas,120,400000
110143-4,3,1,1,2,Uvaranas,108,400000
143818-4,3,2,1,2,Nova Rússia,237,400000
110555-4,3,3,1,2,Uvaranas,196,400000
110652-4,3,1,1,2,Oficinas,121,400000
81971-4,3,2,1,2,Orfãs,163,400000
133415-4,3,2,1,3,Orfãs,153,399000
151156-4,4,4,2,2,Estrela,150,390000
146421-4,3,3,1,2,Estrela,204,390000
128319-4,3,2,1,4,Estrela,148,390000
94402-4,3,3,1,2,Boa Vista,219,390000
129972-4,3,1,0,2,Contorno / Sta. Paula,500,390000
145763-4,3,1,0,1,Orfãs,324,390000
126872-4,3,3,2,2,Estrela,130,386000
147945-4,3,3,1,2,Neves,162,385000
147959-4,3,3,1,2,Uvaranas,162,380000
143644-4,2,1,0,2,Oficinas,149,380000
134587-4,3,2,1,2,Uvaranas,183,380000
65041-4,3,2,1,1,Nova Rússia,104,380000
143070-4,3,1,1,2,Ronda,225,380000
154968-4,3,3,1,2,Oficinas,135,380000
143151-4,3,1,1,2,Jardim Carvalho,133,380000
142453-4,3,1,1,2,Jardim Carvalho,87,379000
143704-4,3,1,0,2,Jardim Carvalho,133,379000
126327-4,3,2,1,2,Uvaranas,105,375000
151187-4,3,2,0,3,Orfãs,80,370000
132312-4,3,2,1,2,Uvaranas,384,370000
127967-4,3,2,1,2,Jardim Carvalho,241,370000
154740-4,3,1,1,4,Orfãs,130,370000
150842-4,3,1,1,2,Uvaranas,112,365000
144719-4,3,3,1,2,Uvaranas,173,365000
21003-4,3,1,1,1,Uvaranas,173,362500
131568-4,3,3,1,2,Oficinas,114,361000
134305-4,3,3,1,4,Jardim Carvalho,138,360000
151062-4,3,2,0,2,Contorno / Sta. Paula,177,360000
143185-4,5,4,2,2,Neves,186,360000
147048-4,3,2,1,2,Neves,168,360000
151674-4,3,2,1,1,Jardim Carvalho,241,360000
129893-4,3,2,0,2,Jardim Carvalho,87,360000
134130-4,3,1,1,2,Jardim Carvalho,138,360000
143613-4,3,2,0,1,Olarias,104,360000
142691-4,3,1,1,2,Uvaranas,94,350000
131883-4,3,2,0,2,Uvaranas,116,350000
98576-4,2,2,0,3,Oficinas,142,350000
151060-4,3,3,1,2,Uvaranas,173,350000
111454-4,4,4,2,3,Centro,384,350000
108548-4,3,1,1,3,Uvaranas,288,350000
102236-4,2,3,2,2,Uvaranas,170,350000
146607-4,3,1,1,2,Orfãs,101,350000
132005-4,3,1,1,2,Jardim Carvalho,128,350000
134459-4,2,1,1,1,Jardim Carvalho,109,350000
148530-4,3,1,0,1,Nova Rússia,237,350000
154689-4,2,2,2,2,Uvaranas,173,350000
134464-4,2,1,2,1,Uvaranas,140,350000
96376-4,2,1,2,2,Uvaranas,140,350000
17351-4,3,3,2,2,Uvaranas,140,350000
145388-4,2,2,1,1,Jardim Carvalho,91,350000
118714-4,2,1,0,2,Uvaranas,170,350000
118612-4,3,3,1,2,Boa Vista,150,350000
131232-4,3,2,1,2,Uvaranas,112,345000
128439-4,3,1,0,2,Uvaranas,102,345000
131570-4,3,3,1,1,Uvaranas,102,345000
110560-4,2,1,0,2,Uvaranas,102,345000
143636-4,3,3,1,2,Uvaranas,100,340000
143626-4,3,2,1,2,Estrela,148,340000
119355-4,3,1,0,2,Uvaranas,140,340000
143909-4,3,2,1,2,Estrela,148,340000
143910-4,3,2,1,2,Estrela,148,340000
143911-4,3,2,1,2,Estrela,148,340000
143912-4,3,2,1,2,Estrela,148,340000
125358-4,3,1,1,2,Oficinas,189,340000
133563-4,3,1,1,1,Uvaranas,110,330000
119299-4,3,3,0,3,Estrela,107,330000
126633-4,3,2,1,2,Uvaranas,200,330000
102063-4,3,2,1,2,Uvaranas,110,330000
131559-4,3,3,1,2,Jardim Carvalho,106,330000
144301-4,3,1,1,2,Boa Vista,88,330000
148768-4,3,2,0,1,Jardim Carvalho,241,325000
134889-4,3,1,0,1,Nova Rússia,153,320000
130789-4,3,2,1,1,Uvaranas,140,320000
105527-4,3,1,1,2,Uvaranas,123,320000
143042-4,3,3,1,2,Colônia Dona Luiza,106,320000
131569-4,4,3,1,2,Uvaranas,224,320000
132295-4,3,3,1,2,Jardim Carvalho,137,320000
147184-4,3,1,1,2,Colônia Dona Luiza,100,320000
76605-4,4,3,1,3,Contorno / Sta. Paula,224,320000
135029-4,3,3,1,2,Colônia Dona Luiza,243,320000
90992-4,3,2,1,1,Jardim Carvalho,106,315000
146454-4,3,1,0,2,Jardim Carvalho,105,315000
145237-4,3,1,1,3,Orfãs,111,310000
155009-4,3,1,1,2,Oficinas,91,310000
101869-4,3,3,1,2,Jardim Carvalho,241,310000
104248-4,3,2,1,1,Jardim Carvalho,105,310000
117900-4,3,3,1,2,Ronda,225,310000
96136-4,3,1,1,3,Estrela,138,310000
146748-4,3,1,0,1,Oficinas,100,310000
150776-4,3,1,1,2,Oficinas,93,310000
147252-4,3,2,0,1,Estrela,333,300000
146551-4,3,2,1,1,Jardim Carvalho,125,300000
129123-4,2,2,1,2,Uvaranas,88,300000
150602-4,3,2,0,3,Contorno / Sta. Paula,112,300000
87621-4,3,2,0,2,Estrela,100,300000
150476-4,3,2,0,2,Contorno / Sta. Paula,120,300000
142988-4,3,2,1,2,Uvaranas,173,300000
145920-4,3,2,0,2,Uvaranas,123,300000
105085-4,3,3,1,1,Uvaranas,107,300000
105775-4,3,3,1,1,Uvaranas,123,300000
146902-4,3,3,0,3,Estrela,88,299000
146706-4,3,1,0,3,Estrela,79,299000
107918-4,3,4,1,1,Uvaranas,150,299000
148812-4,3,3,0,2,Estrela,333,299000
148585-4,3,2,1,2,Chapada,212,295000
146888-4,3,1,0,1,Estrela,80,295000
148840-4,3,3,0,2,Estrela,333,291000
142684-4,4,2,0,2,Jardim Carvalho,241,290000
153559-4,2,1,0,3,Orfãs,90,290000
119105-4,3,2,0,2,Uvaranas,95,290000
154802-4,5,3,0,2,Nova Rússia,160,290000
132004-4,3,1,1,2,Jardim Carvalho,89,290000
142645-4,3,1,1,2,Neves,108,290000
133618-4,3,2,1,2,Uvaranas,173,289000
111333-4,3,3,1,2,Uvaranas,173,289000
111334-4,3,3,1,2,Uvaranas,173,289000
17215-4,3,2,1,2,Uvaranas,173,285000
145706-4,3,2,1,2,Jardim Carvalho,98,285000
143941-4,3,2,1,2,Colônia Dona Luiza,95,285000
51666-4,3,1,0,2,Chapada,462,280000
148018-4,3,2,1,2,Contorno / Sta. Paula,130,280000
146650-4,3,1,1,2,Uvaranas,97,280000
130589-4,3,2,1,1,Estrela,90,280000
148520-4,3,2,0,2,Nova Rússia,237,280000
145570-4,3,2,0,2,Orfãs,130,280000
148368-4,3,3,1,2,Uvaranas,100,280000
148873-4,3,2,0,2,Uvaranas,173,270003
151046-4,3,2,0,2,Uvaranas,65,270000
145898-4,3,3,0,3,Orfãs,107,270000
154385-4,3,2,0,1,Uvaranas,173,270000
146146-4,3,3,1,2,Jardim Carvalho,103,270000
147812-4,3,1,1,2,Uvaranas,92,270000
149088-4,3,2,1,1,Uvaranas,87,270000
148515-4,3,2,0,2,Uvaranas,173,270000
148892-4,3,3,0,2,Estrela,333,270000
146020-4,3,2,0,2,Jardim Carvalho,102,270000
151044-4,3,2,1,2,Contorno / Sta. Paula,100,265000
131567-4,3,4,3,2,Uvaranas,122,265000
107828-4,3,2,1,3,Contorno / Sta. Paula,130,265000
143832-4,3,2,1,2,Uvaranas,120,265000
151043-4,3,2,1,1,Jardim Carvalho,110,260000
148613-4,4,3,1,2,Contorno / Sta. Paula,177,260000
130162-4,3,2,0,2,Uvaranas,140,260000
127885-4,3,1,0,3,Estrela,86,260000
144877-4,3,3,1,2,Estrela,333,260000
131736-4,2,2,0,2,Uvaranas,115,260000
148500-4,3,2,0,2,Estrela,333,260000
135369-4,3,1,0,2,Uvaranas,121,260000
107603-4,3,1,1,2,Contorno / Sta. Paula,100,260000
96434-4,3,1,0,2,Jardim Carvalho,110,260000
145801-4,3,2,0,2,Estrela,152,260000
99719-4,3,3,1,4,Oficinas,100,260000
99862-4,3,2,1,1,Jardim Carvalho,241,260000
102112-4,3,2,1,4,Oficinas,83,257000
100692-4,3,2,1,3,Contorno / Sta. Paula,130,255000
147811-4,2,1,0,2,Jardim Carvalho,80,255000
